order_id,product_name,category,subcategory,price,quantity,total_amount,order_date,customer_region,payment_method,order_status,customer_age,customer_gender
ORD000000,网易严选床垫,家居,家居家居,6964.58,3,20893.74,2024/06/03,华东,支付宝,completed,53,男
ORD000001,Kindle Paperwhite,电子产品,电子产品,830.99,1,830.99,2024/01/13,华中,银行卡,completed,59,男
ORD000002,德芙巧克力,食品,食品食品,6884.74,7,48193.18,2024/05/29,华北,信用卡,completed,23,男
ORD000003,iPad Air,电子产品,电子产品,9447.99,9,85031.91,2024/09/16,西南,支付宝,completed,41,女
ORD000004,宜家书架,家居,家居家居,5129.51,10,51295.1,2024/08/21,华东,支付宝,completed,25,男
ORD000005,AirPods Pro,电子产品,电子产品,2026.07,2,4052.14,2024/11/23,华南,支付宝,completed,45,男
ORD000006,Sony WH-1000XM5,电子产品,电子产品,3097.87,3,9293.61,2024/09/30,西南,信用卡,completed,33,男
ORD000007,Zara 西装外套,服装,服装服装,439.98,10,4399.8,2024/07/21,华中,信用卡,completed,32,
ORD000008,AirPods Pro,电子产品,电子产品,1663.94,7,11647.58,2025/03/04,华中,微信支付,completed,24,女
ORD000009,罗技 MX Master 3,电子产品,电子产品,9787.41,4,39149.64,2025/04/24,华北,微信支付,completed,47,
ORD000010,Python编程从入门到实践,图书,图书图书,7890.2,7,55231.4,2024/01/30,东北,支付宝,completed,37,
ORD000011,三体全集,图书,图书图书,5032.92,3,15098.76,2024/12/20,华北,信用卡,completed,56,
ORD000012,H&M 连衣裙,服装,服装服装,6239.37,8,49914.96,2024/02/19,东北,信用卡,completed,54,男
ORD000013,小米台灯,家居,家居家居,3135.76,5,15678.8,2024/10/11,华北,微信支付,pending,20,
ORD000014,优衣库羽绒服,服装,服装服装,4045.54,4,16182.16,2024/09/27,华北,信用卡,completed,24,
ORD000015,iPad Air,电子产品,电子产品,3492.36,9,31431.24,2024/09/20,东北,信用卡,completed,34,
ORD000016,iPad Air,电子产品,电子产品,1133.62,5,5668.1,2024/01/10,西北,微信支付,completed,58,男
ORD000017,Nike Air Max,服装,服装服装,90.48,8,723.84,2024/11/07,华中,微信支付,completed,57,
ORD000018,小熊加湿器,家居,家居家居,8454.85,5,42274.25,2024/10/04,华南,微信支付,refunded,32,女
ORD000019,AirPods Pro,电子产品,电子产品,5522.63,8,44181.04,2024/11/02,华南,微信支付,completed,19,女
