task_id,status,type,created_at
task_005,completed,upload,1781055981.6236649
task_002,completed,merge,1781066781.623085
task_016,failed,convert,1781016381.626459
task_001,completed,upload,1781070381.622251
task_012,completed,convert,1781030781.624833
task_008,completed,convert,1781045181.624186
task_014,completed,merge,1781023581.625175
task_011,completed,compress,1781034381.624682
task_015,failed,compress,1781019981.62534
task_018,processing,merge,1781009181.630453
task_017,failed,upload,1781012781.628034
task_009,completed,upload,1781041581.624358
task_007,completed,compress,1781048781.624013
task_000,completed,convert,1781073981.6205041
task_013,completed,upload,1781027181.625008
task_019,processing,compress,1781005581.630651
task_003,completed,compress,1781063181.6232781
task_006,completed,merge,1781052381.623828
task_010,completed,merge,1781037981.6245272
task_004,completed,convert,1781059581.623467
