user_id,event_time,event_type,page_url,session_id,duration_sec,device_type,browser,region,is_new_user,referrer_source,is_converted
U0000000,2024-06-13 23:17:15,click,/product/378,ac7648a6,559,mobile,Safari,华南,0,direct,0
U0000001,2025-05-26 17:26:14,purchase,/profile,5fa5fb45,7,mobile,Edge,华南,1,社交媒体,1
U0000002,2024-12-01 11:38:16,page_view,/promotions,7b43a8e6,128,mobile,QQ Browser,东北,0,搜索引擎,0
U0000003,,click,/checkout,,239,mobile,Edge,华南,0,搜索引擎,0
U0000004,2025-05-16 20:04:38,logout,/product/274,8545cc5c,168,mobile,QQ Browser,华南,1,direct,0
U0000005,,add_to_cart,/category/electronics,10005975,217,desktop,Safari,西北,0,外部链接,0
U0000006,2024-10-05 23:35:34,add_to_cart,/promotions,fe005022,598,mobile,,西南,0,direct,0
U0000007,2024-08-21 21:27:38,page_view,/category/electronics,53b67fb3,480,tablet,Chrome,西北,0,外部链接,0
U0000008,2025-04-25 10:07:18,purchase,/product/233,93324746,270,desktop,Chrome,东北,0,外部链接,1
U0000009,2024-12-09 05:34:49,search,/home,fce6e70e,501,tablet,Edge,华南,0,邮件营销,0
U0000010,2025-02-04 02:48:34,click,/product/338,404856d2,563,mobile,Safari,西南,1,外部链接,0
U0000011,2025-05-10 20:23:28,search,/category/clothing,594ff7af,231,mobile,QQ Browser,华南,0,外部链接,0
U0000012,2024-06-17 10:04:32,click,/checkout,3d8be737,220,desktop,QQ Browser,华中,0,广告投放,0
U0000013,2024-07-20 21:27:22,purchase,/category/electronics,0d5432ca,56,tablet,Firefox,西北,1,direct,1
U0000014,2025-01-16 04:27:11,add_to_cart,/category/clothing,a9980359,78,desktop,Chrome,西北,0,,0
U0000015,2024-09-30 05:26:31,purchase,/cart,f4d044d3,61,mobile,Firefox,华北,0,外部链接,1
U0000016,2025-02-05 04:12:18,click,/home,ef6bf097,556,mobile,Firefox,西南,1,邮件营销,0
U0000017,2024-07-12 05:04:38,page_view,/orders,d4d12aeb,414,desktop,QQ Browser,华东,0,广告投放,0
U0000018,2024-11-09 08:13:42,logout,/search,a6676d72,406,desktop,Chrome,华东,0,邮件营销,0
U0000019,2024-09-18 16:16:08,add_to_cart,/products,ce567be1,379,mobile,Edge,西南,0,,0
U0000020,2025-05-08 17:19:59,logout,/products,eec5a4f5,138,desktop,Safari,华北,0,搜索引擎,0
U0000021,2025-04-21 08:32:31,add_to_cart,/home,d6fff088,434,mobile,Safari,西北,1,,0
U0000022,2025-05-28 13:35:00,page_view,/products,2c9bad6a,153,desktop,Safari,华中,0,社交媒体,0
U0000023,2024-06-21 11:13:43,click,/orders,f04d0a6a,574,mobile,Safari,华南,0,搜索引擎,0
U0000024,,logout,/search,ae53c539,422,desktop,Edge,华南,0,direct,0
U0000025,,purchase,/cart,0c815f0d,472,desktop,Safari,华东,0,广告投放,1
U0000026,2024-10-21 11:41:32,purchase,/orders,,550,mobile,Edge,华南,1,社交媒体,1
U0000027,2024-11-24 23:50:20,purchase,/profile,,119,desktop,Firefox,华东,0,邮件营销,1
U0000028,2025-05-10 06:23:27,page_view,/orders,ae83bc45,322,mobile,QQ Browser,华北,0,社交媒体,0
U0000029,2024-08-05 06:26:42,purchase,/orders,5306dfa3,179,mobile,Chrome,华北,0,广告投放,1
U0000030,2024-11-12 14:28:28,logout,/cart,4d303cd5,174,mobile,QQ Browser,华北,0,搜索引擎,0
U0000031,2024-09-10 04:01:02,click,/category/clothing,626f0828,75,desktop,Firefox,华中,0,搜索引擎,0
U0000032,,page_view,/category/electronics,8ab3ed1e,531,desktop,Chrome,华中,0,广告投放,0
U0000033,2025-04-01 10:48:57,purchase,/profile,c82bd1fd,517,tablet,Safari,西北,1,广告投放,1
U0000034,2025-04-23 08:49:49,search,/category/clothing,7477aa11,282,desktop,Edge,华北,1,direct,0
U0000035,2025-05-22 04:45:13,page_view,/category/electronics,6bd4c0cf,556,mobile,Firefox,东北,1,外部链接,0
U0000036,2025-03-22 12:30:00,add_to_cart,/checkout,bd0c94a6,430,desktop,Safari,华中,0,广告投放,0
U0000037,2025-05-09 21:51:25,logout,/product/431,12d8e66a,131,mobile,QQ Browser,西南,0,direct,0
U0000038,2025-01-23 05:03:16,purchase,/search,dbb9f721,335,desktop,Firefox,华北,1,广告投放,1
U0000039,2024-11-27 07:41:04,logout,/home,aec930b9,254,mobile,Safari,华中,0,邮件营销,0
U0000040,2024-10-10 11:10:38,search,/promotions,e9e96869,168,mobile,Edge,西南,0,广告投放,0
U0000041,2024-07-09 18:44:53,logout,/cart,5ba6a08b,309,desktop,QQ Browser,东北,0,邮件营销,0
U0000042,2025-02-15 20:21:00,purchase,/category/clothing,1d1f2d5b,371,desktop,Firefox,华南,1,外部链接,1
U0000043,2025-03-03 15:29:27,logout,/profile,8cdf1aa4,252,mobile,Safari,东北,0,邮件营销,0
U0000044,2025-02-09 10:11:31,click,/search,48f4c3d0,349,desktop,QQ Browser,华东,1,搜索引擎,0
U0000045,2025-02-06 17:48:15,logout,/category/clothing,d563a92a,503,mobile,Firefox,西北,0,外部链接,0
U0000046,2025-02-27 11:27:47,search,/search,46aae951,465,mobile,Safari,华北,0,邮件营销,0
U0000047,2024-09-07 06:47:30,add_to_cart,/promotions,e8911d79,538,tablet,Edge,华南,1,社交媒体,0
U0000048,2024-10-19 01:03:35,add_to_cart,/promotions,5edee171,503,mobile,Firefox,华中,1,direct,0
U0000049,2024-07-29 02:25:31,page_view,/profile,ff049c3d,55,desktop,Chrome,华南,0,广告投放,0
U0000050,2024-09-24 16:24:28,purchase,/checkout,0c16749f,440,desktop,Chrome,东北,1,搜索引擎,1
U0000051,2024-10-01 05:35:04,click,/home,502c0356,482,mobile,Firefox,华东,0,社交媒体,0
U0000052,2025-05-05 06:27:07,search,/cart,9c61dc5c,273,mobile,Edge,西南,0,邮件营销,0
U0000053,2025-01-26 22:19:44,purchase,/checkout,839850df,506,desktop,Edge,西南,1,direct,1
U0000054,2025-03-22 18:01:48,logout,/checkout,f8db1d28,180,desktop,Safari,西南,0,广告投放,0
U0000055,2024-12-27 10:20:42,page_view,/product/169,006d00dc,508,tablet,QQ Browser,华东,1,社交媒体,0
U0000056,2024-12-24 16:52:00,logout,/category/food,1a0e4d15,56,mobile,Firefox,东北,0,社交媒体,0
U0000057,2025-01-11 22:31:07,page_view,/orders,da13c869,246,mobile,Firefox,华东,0,direct,0
U0000058,2024-08-18 15:59:45,add_to_cart,/category/food,6f631139,426,tablet,QQ Browser,华南,0,邮件营销,0
U0000059,2024-07-06 08:49:50,purchase,/search,281b1334,520,mobile,QQ Browser,西南,0,,1
U0000060,2025-03-03 15:22:21,search,/category/food,661fc341,330,tablet,Firefox,华南,1,广告投放,0
U0000061,2025-05-28 12:24:42,logout,/product/254,84c56014,130,desktop,Firefox,华东,1,广告投放,0
U0000062,2025-05-02 04:04:30,add_to_cart,/search,c9ed5a58,408,desktop,QQ Browser,华中,0,,0
U0000063,2025-02-05 17:02:39,page_view,/cart,11fa64ca,295,desktop,Chrome,东北,0,direct,0
U0000064,2024-06-15 01:20:50,page_view,/checkout,85061d9a,442,mobile,Safari,华南,0,邮件营销,0
U0000065,2024-10-02 15:58:37,click,/cart,0a9bd8db,261,desktop,Firefox,华北,1,搜索引擎,0
U0000066,2025-03-28 09:40:27,logout,/checkout,8093534a,310,mobile,Safari,华中,1,邮件营销,0
U0000067,2024-06-12 21:25:17,page_view,/profile,20134c3c,51,desktop,Edge,东北,0,邮件营销,0
U0000068,2024-09-06 19:16:43,logout,/orders,edc5f768,141,tablet,Edge,东北,0,邮件营销,0
U0000069,2024-10-30 10:47:26,click,/cart,53044044,553,mobile,Edge,东北,0,广告投放,0
U0000070,2024-11-21 03:29:04,click,/cart,f092ac2d,407,desktop,Firefox,华东,0,direct,0
U0000071,2025-05-11 08:37:24,logout,/search,5b1c9ef6,240,desktop,Edge,西南,0,direct,0
U0000072,2025-05-25 09:41:26,page_view,/product/24,1873ffc7,312,mobile,QQ Browser,华南,0,社交媒体,0
U0000073,2025-03-04 13:37:47,logout,/product/454,c6aa9a8d,102,desktop,Edge,华东,0,搜索引擎,0
U0000074,2024-12-03 03:43:23,search,/orders,cf761bd8,408,tablet,Firefox,华东,0,外部链接,0
